Outlet_ID,Outlet_Name,City,Location_Tier,Outlet_Size,Outlet_Type,Establishment_Year
OUT0048,Blinkit Indore - 2,Indore,Tier 2,Small,Dark Store,2022
OUT0049,Blinkit Nagpur - 2,Nagpur,Tier 2,Large,Express Hub,2021
OUT0050,Blinkit Bhopal - 2,Bhopal,Tier 2,Small,Express Hub,2021
OUT0051,Blinkit Kochi - 2,Kochi,Tier 2,Medium,Express Hub,2019
OUT0052,Blinkit Chandigarh - 2,Chandigarh,Tier 2,Small,Dark Store,2021
OUT0053,Blinkit Surat - 2,Surat,Tier 2,Medium,Express Hub,2018
OUT0054,Blinkit Vadodara - 2,Vadodara,Tier 2,Medium,Express Hub,2020
OUT0055,Blinkit Visakhapatnam - 2,Visakhapatnam,Tier 2,Small,Dark Store,2019
OUT0056,Blinkit Patna - 2,Patna,Tier 2,Medium,Express Hub,2022
OUT0057,Blinkit Tiruppur - 2,Tiruppur,Tier 3,Medium,Warehouse Store,2023
OUT0058,Blinkit Guwahati - 2,Guwahati,Tier 3,Large,Express Hub,2023
OUT0059,Blinkit Ranchi - 2,Ranchi,Tier 3,Large,Warehouse Store,2023
OUT0060,Blinkit Mysuru - 2,Mysuru,Tier 3,Medium,Dark Store,2021
OUT0061,Blinkit Nashik - 2,Nashik,Tier 3,Medium,Express Hub,2023
OUT0062,Blinkit Raipur - 2,Raipur,Tier 3,Large,Dark Store,2023
OUT0063,Blinkit Dehradun - 2,Dehradun,Tier 3,Medium,Warehouse Store,2023
OUT0064,Blinkit Jodhpur - 2,Jodhpur,Tier 3,Medium,Dark Store,2024
OUT0065,Blinkit Madurai - 2,Madurai,Tier 3,Large,Dark Store,2020
OUT0066,Blinkit Amritsar - 2,Amritsar,Tier 3,Medium,Dark Store,2023
OUT0067,Blinkit Varanasi - 2,Varanasi,Tier 3,Small,Express Hub,2020
OUT0068,Blinkit Siliguri - 2,Siliguri,Tier 3,Small,Express Hub,2022
OUT0069,Blinkit Mumbai - 3,Mumbai,Tier 1,Large,Dark Store,2020
OUT0070,Blinkit Delhi - 3,Delhi,Tier 1,Small,Dark Store,2020
OUT0071,Blinkit Bengaluru - 3,Bengaluru,Tier 1,Medium,Dark Store,2021
OUT0072,Blinkit Hyderabad - 3,Hyderabad,Tier 1,Small,Dark Store,2021
OUT0073,Blinkit Chennai - 3,Chennai,Tier 1,Small,Warehouse Store,2024
OUT0074,Blinkit Pune - 3,Pune,Tier 1,Small,Dark Store,2021
OUT0075,Blinkit Kolkata - 3,Kolkata,Tier 1,Medium,Dark Store,2019
OUT0076,Blinkit Ahmedabad - 3,Ahmedabad,Tier 1,Medium,Express Hub,2021
OUT0077,Blinkit Noida - 3,Noida,Tier 1,Large,Express Hub,2024
OUT0078,Blinkit Gurugram - 3,Gurugram,Tier 1,Medium,Dark Store,2023
OUT0079,Blinkit Jaipur - 3,Jaipur,Tier 2,Small,Express Hub,2023
OUT0080,Blinkit Lucknow - 3,Lucknow,Tier 2,Small,Express Hub,2024
OUT0081,Blinkit Coimbatore - 3,Coimbatore,Tier 2,Small,Dark Store,2024
OUT0082,Blinkit Indore - 3,Indore,Tier 2,Large,Dark Store,2024
OUT0083,Blinkit Nagpur - 3,Nagpur,Tier 2,Medium,Dark Store,2021
OUT0084,Blinkit Bhopal - 3,Bhopal,Tier 2,Small,Dark Store,2021
OUT0085,Blinkit Kochi - 3,Kochi,Tier 2,Medium,Express Hub,2022
OUT0086,Blinkit Chandigarh - 3,Chandigarh,Tier 2,Medium,Dark Store,2023
OUT0087,Blinkit Surat - 3,Surat,Tier 2,Small,Dark Store,2018
OUT0088,Blinkit Vadodara - 3,Vadodara,Tier 2,Small,Dark Store,2020
OUT0089,Blinkit Visakhapatnam - 3,Visakhapatnam,Tier 2,Medium,Warehouse Store,2022
OUT0090,Blinkit Patna - 3,Patna,Tier 2,Medium,Dark Store,2023
OUT0091,Blinkit Tiruppur - 3,Tiruppur,Tier 3,Small,Dark Store,2022
OUT0092,Blinkit Guwahati - 3,Guwahati,Tier 3,Medium,Dark Store,2021
OUT0093,Blinkit Ranchi - 3,Ranchi,Tier 3,Large,Express Hub,2022
OUT0094,Blinkit Mysuru - 3,Mysuru,Tier 3,Medium,Dark Store,2022
OUT0095,Blinkit Nashik - 3,Nashik,Tier 3,Medium,Dark Store,2023
OUT0096,Blinkit Raipur - 3,Raipur,Tier 3,Large,Express Hub,2021
OUT0097,Blinkit Dehradun - 3,Dehradun,Tier 3,Medium,Dark Store,2021
OUT0098,Blinkit Jodhpur - 3,Jodhpur,Tier 3,Small,Dark Store,2021
OUT0099,Blinkit Madurai - 3,Madurai,Tier 3,Small,Express Hub,2022
OUT0100,Blinkit Amritsar - 3,Amritsar,Tier 3,Medium,Express Hub,2021
OUT0101,Blinkit Varanasi - 3,Varanasi,Tier 3,Medium,Warehouse Store,2022
OUT0102,Blinkit Siliguri - 3,Siliguri,Tier 3,Medium,Express Hub,2022
OUT0103,Blinkit Mumbai - 4,Mumbai,Tier 1,Small,Dark Store,2020
OUT0104,Blinkit Delhi - 4,Delhi,Tier 1,Medium,Dark Store,2020
OUT0105,Blinkit Bengaluru - 4,Bengaluru,Tier 1,Small,Express Hub,2022
OUT0106,Blinkit Hyderabad - 4,Hyderabad,Tier 1,Medium,Dark Store,2021
OUT0107,Blinkit Chennai - 4,Chennai,Tier 1,Small,Express Hub,2021
OUT0108,Blinkit Pune - 4,Pune,Tier 1,Large,Dark Store,2021
OUT0109,Blinkit Kolkata - 4,Kolkata,Tier 1,Small,Express Hub,2022
OUT0110,Blinkit Ahmedabad - 4,Ahmedabad,Tier 1,Medium,Dark Store,2021
OUT0111,Blinkit Noida - 4,Noida,Tier 1,Small,Warehouse Store,2019
OUT0112,Blinkit Gurugram - 4,Gurugram,Tier 1,Small,Warehouse Store,2021
OUT0113,Blinkit Jaipur - 4,Jaipur,Tier 2,Medium,Express Hub,2018
OUT0114,Blinkit Lucknow - 4,Lucknow,Tier 2,Medium,Dark Store,2024
OUT0115,Blinkit Coimbatore - 4,Coimbatore,Tier 2,Small,Warehouse Store,2024
OUT0116,Blinkit Indore - 4,Indore,Tier 2,Large,Dark Store,2023
OUT0117,Blinkit Nagpur - 4,Nagpur,Tier 2,Medium,Dark Store,2019
OUT0118,Blinkit Bhopal - 4,Bhopal,Tier 2,Large,Express Hub,2022
OUT0119,Blinkit Kochi - 4,Kochi,Tier 2,Medium,Dark Store,2021
OUT0120,Blinkit Chandigarh - 4,Chandigarh,Tier 2,Small,Express Hub,2020
OUT0121,Blinkit Surat - 4,Surat,Tier 2,Medium,Dark Store,2023
OUT0122,Blinkit Vadodara - 4,Vadodara,Tier 2,Large,Express Hub,2022
OUT0123,Blinkit Visakhapatnam - 4,Visakhapatnam,Tier 2,Large,Dark Store,2022
OUT0124,Blinkit Patna - 4,Patna,Tier 2,Large,Dark Store,2021
OUT0125,Blinkit Tiruppur - 4,Tiruppur,Tier 3,Small,Dark Store,2021
OUT0126,Blinkit Guwahati - 4,Guwahati,Tier 3,Medium,Dark Store,2022
OUT0127,Blinkit Ranchi - 4,Ranchi,Tier 3,Large,Dark Store,2020
OUT0128,Blinkit Mysuru - 4,Mysuru,Tier 3,Small,Dark Store,2024
OUT0129,Blinkit Nashik - 4,Nashik,Tier 3,Large,Dark Store,2022
OUT0130,Blinkit Raipur - 4,Raipur,Tier 3,Medium,Dark Store,2024
OUT0131,Blinkit Dehradun - 4,Dehradun,Tier 3,Small,Dark Store,2022
OUT0132,Blinkit Jodhpur - 4,Jodhpur,Tier 3,Small,Express Hub,2020
OUT0133,Blinkit Madurai - 4,Madurai,Tier 3,Small,Dark Store,2022
OUT0134,Blinkit Amritsar - 4,Amritsar,Tier 3,Small,Express Hub,2020
OUT0135,Blinkit Varanasi - 4,Varanasi,Tier 3,Large,Dark Store,2020
OUT0136,Blinkit Siliguri - 4,Siliguri,Tier 3,Large,Dark Store,2019
OUT0137,Blinkit Mumbai - 5,Mumbai,Tier 1,Large,Warehouse Store,2021
OUT0138,Blinkit Delhi - 5,Delhi,Tier 1,Small,Dark Store,2023
OUT0139,Blinkit Bengaluru - 5,Bengaluru,Tier 1,Large,Dark Store,2024
OUT0140,Blinkit Hyderabad - 5,Hyderabad,Tier 1,Small,Dark Store,2021
OUT0141,Blinkit Chennai - 5,Chennai,Tier 1,Small,Dark Store,2022
OUT0142,Blinkit Pune - 5,Pune,Tier 1,Medium,Dark Store,2019
OUT0143,Blinkit Kolkata - 5,Kolkata,Tier 1,Small,Warehouse Store,2021
OUT0144,Blinkit Ahmedabad - 5,Ahmedabad,Tier 1,Medium,Dark Store,2019
OUT0145,Blinkit Noida - 5,Noida,Tier 1,Small,Dark Store,2019
OUT0146,Blinkit Gurugram - 5,Gurugram,Tier 1,Medium,Express Hub,2019
OUT0147,Blinkit Jaipur - 5,Jaipur,Tier 2,Medium,Dark Store,2019
OUT0148,Blinkit Lucknow - 5,Lucknow,Tier 2,Medium,Dark Store,2020
OUT0149,Blinkit Coimbatore - 5,Coimbatore,Tier 2,Medium,Warehouse Store,2020
OUT0150,Blinkit Indore - 5,Indore,Tier 2,Large,Dark Store,2024
OUT0151,Blinkit Nagpur - 5,Nagpur,Tier 2,Small,Dark Store,2019
OUT0152,Blinkit Bhopal - 5,Bhopal,Tier 2,Small,Dark Store,2018
OUT0153,Blinkit Kochi - 5,Kochi,Tier 2,Small,Express Hub,2021
OUT0154,Blinkit Chandigarh - 5,Chandigarh,Tier 2,Large,Dark Store,2021
OUT0155,Blinkit Surat - 5,Surat,Tier 2,Small,Dark Store,2022
OUT0156,Blinkit Vadodara - 5,Vadodara,Tier 2,Small,Express Hub,2020
OUT0157,Blinkit Visakhapatnam - 5,Visakhapatnam,Tier 2,Small,Warehouse Store,2020
OUT0158,Blinkit Patna - 5,Patna,Tier 2,Medium,Dark Store,2018
OUT0159,Blinkit Tiruppur - 5,Tiruppur,Tier 3,Medium,Dark Store,2020
OUT0160,Blinkit Guwahati - 5,Guwahati,Tier 3,Small,Dark Store,2023
OUT0161,Blinkit Ranchi - 5,Ranchi,Tier 3,Large,Express Hub,2021
OUT0162,Blinkit Mysuru - 5,Mysuru,Tier 3,Medium,Express Hub,2024
OUT0163,Blinkit Nashik - 5,Nashik,Tier 3,Large,Dark Store,2022
OUT0164,Blinkit Raipur - 5,Raipur,Tier 3,Medium,Dark Store,2021
OUT0165,Blinkit Dehradun - 5,Dehradun,Tier 3,Medium,Dark Store,2019
OUT0166,Blinkit Jodhpur - 5,Jodhpur,Tier 3,Medium,Express Hub,2023
OUT0167,Blinkit Madurai - 5,Madurai,Tier 3,Medium,Dark Store,2021
OUT0168,Blinkit Amritsar - 5,Amritsar,Tier 3,Medium,Dark Store,2024
OUT0169,Blinkit Varanasi - 5,Varanasi,Tier 3,Small,Dark Store,2020
OUT0170,Blinkit Siliguri - 5,Siliguri,Tier 3,Large,Express Hub,2023
OUT0171,Blinkit Mumbai - 6,Mumbai,Tier 1,Medium,Express Hub,2022
OUT0172,Blinkit Delhi - 6,Delhi,Tier 1,Small,Warehouse Store,2023
OUT0173,Blinkit Bengaluru - 6,Bengaluru,Tier 1,Large,Warehouse Store,2021
OUT0174,Blinkit Hyderabad - 6,Hyderabad,Tier 1,Small,Dark Store,2023
OUT0175,Blinkit Chennai - 6,Chennai,Tier 1,Medium,Dark Store,2019
OUT0176,Blinkit Pune - 6,Pune,Tier 1,Large,Dark Store,2022
OUT0177,Blinkit Kolkata - 6,Kolkata,Tier 1,Medium,Dark Store,2021
OUT0178,Blinkit Ahmedabad - 6,Ahmedabad,Tier 1,Small,Dark Store,2020
OUT0179,Blinkit Noida - 6,Noida,Tier 1,Medium,Dark Store,2022
OUT0180,Blinkit Gurugram - 6,Gurugram,Tier 1,Medium,Dark Store,2021
OUT0181,Blinkit Jaipur - 6,Jaipur,Tier 2,Small,Dark Store,2023
OUT0182,Blinkit Lucknow - 6,Lucknow,Tier 2,Medium,Express Hub,2024
OUT0183,Blinkit Coimbatore - 6,Coimbatore,Tier 2,Small,Dark Store,2019
OUT0184,Blinkit Indore - 6,Indore,Tier 2,Large,Dark Store,2023
OUT0185,Blinkit Nagpur - 6,Nagpur,Tier 2,Small,Dark Store,2020
OUT0186,Blinkit Bhopal - 6,Bhopal,Tier 2,Medium,Warehouse Store,2022
OUT0187,Blinkit Kochi - 6,Kochi,Tier 2,Medium,Dark Store,2021
OUT0188,Blinkit Chandigarh - 6,Chandigarh,Tier 2,Large,Dark Store,2021
OUT0189,Blinkit Surat - 6,Surat,Tier 2,Medium,Warehouse Store,2023
OUT0190,Blinkit Vadodara - 6,Vadodara,Tier 2,Small,Express Hub,2022
OUT0191,Blinkit Visakhapatnam - 6,Visakhapatnam,Tier 2,Medium,Express Hub,2023
OUT0192,Blinkit Patna - 6,Patna,Tier 2,Medium,Express Hub,2020
OUT0193,Blinkit Tiruppur - 6,Tiruppur,Tier 3,Medium,Warehouse Store,2021
OUT0194,Blinkit Guwahati - 6,Guwahati,Tier 3,Large,Dark Store,2023
OUT0195,Blinkit Ranchi - 6,Ranchi,Tier 3,Small,Dark Store,2024
OUT0196,Blinkit Mysuru - 6,Mysuru,Tier 3,Medium,Warehouse Store,2021
OUT0197,Blinkit Nashik - 6,Nashik,Tier 3,Medium,Dark Store,2023
OUT0198,Blinkit Raipur - 6,Raipur,Tier 3,Medium,Dark Store,2022
OUT0199,Blinkit Dehradun - 6,Dehradun,Tier 3,Large,Express Hub,2022
OUT0200,Blinkit Jodhpur - 6,Jodhpur,Tier 3,Medium,Dark Store,2023
OUT0201,Blinkit Madurai - 6,Madurai,Tier 3,Medium,Dark Store,2018
OUT0202,Blinkit Amritsar - 6,Amritsar,Tier 3,Small,Express Hub,2020
OUT0203,Blinkit Varanasi - 6,Varanasi,Tier 3,Medium,Dark Store,2021
OUT0204,Blinkit Siliguri - 6,Siliguri,Tier 3,Medium,Dark Store,2022
OUT0205,Blinkit Mumbai - 7,Mumbai,Tier 1,Small,Warehouse Store,2022
OUT0206,Blinkit Delhi - 7,Delhi,Tier 1,Medium,Dark Store,2019
OUT0207,Blinkit Bengaluru - 7,Bengaluru,Tier 1,Small,Express Hub,2022
OUT0208,Blinkit Hyderabad - 7,Hyderabad,Tier 1,Medium,Dark Store,2021
OUT0209,Blinkit Chennai - 7,Chennai,Tier 1,Medium,Dark Store,2018
OUT0210,Blinkit Pune - 7,Pune,Tier 1,Large,Express Hub,2021
OUT0211,Blinkit Kolkata - 7,Kolkata,Tier 1,Small,Express Hub,2024
OUT0212,Blinkit Ahmedabad - 7,Ahmedabad,Tier 1,Medium,Warehouse Store,2022
OUT0213,Blinkit Noida - 7,Noida,Tier 1,Large,Express Hub,2022
OUT0214,Blinkit Gurugram - 7,Gurugram,Tier 1,Medium,Dark Store,2019
OUT0215,Blinkit Jaipur - 7,Jaipur,Tier 2,Large,Dark Store,2024
OUT0216,Blinkit Lucknow - 7,Lucknow,Tier 2,Small,Dark Store,2019
OUT0217,Blinkit Coimbatore - 7,Coimbatore,Tier 2,Medium,Dark Store,2019
OUT0218,Blinkit Indore - 7,Indore,Tier 2,Small,Dark Store,2023
OUT0219,Blinkit Nagpur - 7,Nagpur,Tier 2,Large,Dark Store,2019
OUT0220,Blinkit Bhopal - 7,Bhopal,Tier 2,Small,Express Hub,2019
OUT0221,Blinkit Kochi - 7,Kochi,Tier 2,Medium,Express Hub,2019
OUT0222,Blinkit Chandigarh - 7,Chandigarh,Tier 2,Small,Dark Store,2023
OUT0223,Blinkit Surat - 7,Surat,Tier 2,Small,Express Hub,2021
OUT0224,Blinkit Vadodara - 7,Vadodara,Tier 2,Medium,Dark Store,2021
OUT0225,Blinkit Visakhapatnam - 7,Visakhapatnam,Tier 2,Small,Express Hub,2022
OUT0226,Blinkit Patna - 7,Patna,Tier 2,Large,Express Hub,2019
OUT0227,Blinkit Tiruppur - 7,Tiruppur,Tier 3,Small,Dark Store,2020
OUT0228,Blinkit Guwahati - 7,Guwahati,Tier 3,Small,Express Hub,2020
OUT0229,Blinkit Ranchi - 7,Ranchi,Tier 3,Small,Dark Store,2022
OUT0230,Blinkit Mysuru - 7,Mysuru,Tier 3,Large,Dark Store,2020
OUT0231,Blinkit Nashik - 7,Nashik,Tier 3,Medium,Dark Store,2023
OUT0232,Blinkit Raipur - 7,Raipur,Tier 3,Medium,Express Hub,2020
OUT0233,Blinkit Dehradun - 7,Dehradun,Tier 3,Medium,Express Hub,2022
OUT0234,Blinkit Jodhpur - 7,Jodhpur,Tier 3,Medium,Dark Store,2023
OUT0235,Blinkit Madurai - 7,Madurai,Tier 3,Small,Express Hub,2023
OUT0236,Blinkit Amritsar - 7,Amritsar,Tier 3,Small,Express Hub,2018
OUT0237,Blinkit Varanasi - 7,Varanasi,Tier 3,Small,Dark Store,2021
OUT0238,Blinkit Siliguri - 7,Siliguri,Tier 3,Large,Dark Store,2022
OUT0239,Blinkit Mumbai - 8,Mumbai,Tier 1,Medium,Warehouse Store,2018
OUT0240,Blinkit Delhi - 8,Delhi,Tier 1,Large,Express Hub,2020
OUT0241,Blinkit Bengaluru - 8,Bengaluru,Tier 1,Large,Express Hub,2021
OUT0242,Blinkit Hyderabad - 8,Hyderabad,Tier 1,Medium,Express Hub,2022
OUT0243,Blinkit Chennai - 8,Chennai,Tier 1,Medium,Warehouse Store,2023
OUT0244,Blinkit Pune - 8,Pune,Tier 1,Large,Express Hub,2021
OUT0245,Blinkit Kolkata - 8,Kolkata,Tier 1,Small,Dark Store,2020
OUT0246,Blinkit Ahmedabad - 8,Ahmedabad,Tier 1,Small,Express Hub,2023
OUT0247,Blinkit Noida - 8,Noida,Tier 1,Medium,Express Hub,2018
OUT0248,Blinkit Gurugram - 8,Gurugram,Tier 1,Large,Dark Store,2019
OUT0249,Blinkit Jaipur - 8,Jaipur,Tier 2,Small,Warehouse Store,2024
OUT0250,Blinkit Lucknow - 8,Lucknow,Tier 2,Small,Dark Store,2022
OUT0251,Blinkit Coimbatore - 8,Coimbatore,Tier 2,Medium,Express Hub,2019
OUT0252,Blinkit Indore - 8,Indore,Tier 2,Medium,Dark Store,2021
OUT0253,Blinkit Nagpur - 8,Nagpur,Tier 2,Medium,Dark Store,2022
OUT0254,Blinkit Bhopal - 8,Bhopal,Tier 2,Large,Dark Store,2023
OUT0255,Blinkit Kochi - 8,Kochi,Tier 2,Small,Dark Store,2018
OUT0256,Blinkit Chandigarh - 8,Chandigarh,Tier 2,Large,Express Hub,2021
OUT0257,Blinkit Surat - 8,Surat,Tier 2,Medium,Dark Store,2022
OUT0258,Blinkit Vadodara - 8,Vadodara,Tier 2,Small,Express Hub,2023
OUT0259,Blinkit Visakhapatnam - 8,Visakhapatnam,Tier 2,Medium,Express Hub,2024
OUT0260,Blinkit Patna - 8,Patna,Tier 2,Large,Dark Store,2021
OUT0261,Blinkit Tiruppur - 8,Tiruppur,Tier 3,Small,Dark Store,2022
OUT0262,Blinkit Guwahati - 8,Guwahati,Tier 3,Small,Express Hub,2022
OUT0263,Blinkit Ranchi - 8,Ranchi,Tier 3,Large,Dark Store,2023
OUT0264,Blinkit Mysuru - 8,Mysuru,Tier 3,Small,Dark Store,2024
OUT0265,Blinkit Nashik - 8,Nashik,Tier 3,Small,Dark Store,2023
OUT0266,Blinkit Raipur - 8,Raipur,Tier 3,Medium,Express Hub,2018
OUT0267,Blinkit Dehradun - 8,Dehradun,Tier 3,Small,Dark Store,2019
OUT0268,Blinkit Jodhpur - 8,Jodhpur,Tier 3,Medium,Warehouse Store,2020
OUT0269,Blinkit Madurai - 8,Madurai,Tier 3,Large,Dark Store,2023
OUT0270,Blinkit Amritsar - 8,Amritsar,Tier 3,Small,Dark Store,2023
OUT0271,Blinkit Varanasi - 8,Varanasi,Tier 3,Small,Express Hub,2022
OUT0272,Blinkit Siliguri - 8,Siliguri,Tier 3,Large,Dark Store,2022
OUT0273,Blinkit Mumbai - 9,Mumbai,Tier 1,Medium,Dark Store,2022
OUT0274,Blinkit Delhi - 9,Delhi,Tier 1,Medium,Warehouse Store,2022
OUT0275,Blinkit Bengaluru - 9,Bengaluru,Tier 1,Small,Dark Store,2023
OUT0276,Blinkit Hyderabad - 9,Hyderabad,Tier 1,Small,Dark Store,2022
OUT0277,Blinkit Chennai - 9,Chennai,Tier 1,Small,Dark Store,2021
OUT0278,Blinkit Pune - 9,Pune,Tier 1,Medium,Dark Store,2020
OUT0279,Blinkit Kolkata - 9,Kolkata,Tier 1,Small,Express Hub,2023
OUT0280,Blinkit Ahmedabad - 9,Ahmedabad,Tier 1,Medium,Dark Store,2018
OUT0281,Blinkit Noida - 9,Noida,Tier 1,Medium,Express Hub,2020
OUT0282,Blinkit Gurugram - 9,Gurugram,Tier 1,Small,Dark Store,2024
OUT0283,Blinkit Jaipur - 9,Jaipur,Tier 2,Medium,Dark Store,2023
OUT0284,Blinkit Lucknow - 9,Lucknow,Tier 2,Medium,Express Hub,2023
OUT0285,Blinkit Coimbatore - 9,Coimbatore,Tier 2,Medium,Dark Store,2021
OUT0286,Blinkit Indore - 9,Indore,Tier 2,Small,Express Hub,2023
OUT0287,Blinkit Nagpur - 9,Nagpur,Tier 2,Medium,Dark Store,2023
OUT0288,Blinkit Bhopal - 9,Bhopal,Tier 2,Medium,Dark Store,2020
OUT0289,Blinkit Kochi - 9,Kochi,Tier 2,Medium,Express Hub,2024
OUT0290,Blinkit Chandigarh - 9,Chandigarh,Tier 2,Medium,Dark Store,2020
OUT0291,Blinkit Surat - 9,Surat,Tier 2,Small,Dark Store,2023
OUT0292,Blinkit Vadodara - 9,Vadodara,Tier 2,Medium,Dark Store,2023
OUT0293,Blinkit Visakhapatnam - 9,Visakhapatnam,Tier 2,Medium,Dark Store,2018
OUT0294,Blinkit Patna - 9,Patna,Tier 2,Medium,Dark Store,2020
OUT0295,Blinkit Tiruppur - 9,Tiruppur,Tier 3,Medium,Dark Store,2022
OUT0296,Blinkit Guwahati - 9,Guwahati,Tier 3,Small,Dark Store,2019
OUT0297,Blinkit Ranchi - 9,Ranchi,Tier 3,Large,Express Hub,2021
OUT0298,Blinkit Mysuru - 9,Mysuru,Tier 3,Medium,Dark Store,2021
OUT0299,Blinkit Nashik - 9,Nashik,Tier 3,Small,Dark Store,2023
OUT0300,Blinkit Raipur - 9,Raipur,Tier 3,Small,Dark Store,2021
OUT0301,Blinkit Dehradun - 9,Dehradun,Tier 3,Large,Dark Store,2023
OUT0302,Blinkit Jodhpur - 9,Jodhpur,Tier 3,Medium,Dark Store,2021
OUT0303,Blinkit Madurai - 9,Madurai,Tier 3,Small,Express Hub,2022
OUT0304,Blinkit Amritsar - 9,Amritsar,Tier 3,Medium,Express Hub,2024
OUT0305,Blinkit Varanasi - 9,Varanasi,Tier 3,Small,Dark Store,2022
OUT0306,Blinkit Siliguri - 9,Siliguri,Tier 3,Small,Express Hub,2022
OUT0307,Blinkit Mumbai - 10,Mumbai,Tier 1,Medium,Dark Store,2021
OUT0308,Blinkit Delhi - 10,Delhi,Tier 1,Small,Dark Store,2024
OUT0309,Blinkit Bengaluru - 10,Bengaluru,Tier 1,Medium,Warehouse Store,2020
OUT0310,Blinkit Hyderabad - 10,Hyderabad,Tier 1,Large,Dark Store,2020
OUT0311,Blinkit Chennai - 10,Chennai,Tier 1,Small,Dark Store,2022
OUT0312,Blinkit Pune - 10,Pune,Tier 1,Medium,Dark Store,2022
OUT0313,Blinkit Kolkata - 10,Kolkata,Tier 1,Large,Dark Store,2023
