Item_ID,Item_Name,Category,Brand,MRP,Pack_Size,Fat_Content,Shelf_Life_Days
ITM0030,Pedigree Hair Oil,Personal Care,Pedigree,361.5,250 g,N/A,30
ITM0031,MTR Glass Cleaner,Home Care,MTR,69.88,250 g,N/A,365
ITM0032,Parle Cookies,Bakery,Parle,66.54,6 pcs,N/A,90
ITM0033,Fortune Frozen Paratha,Frozen & Instant Food,Fortune,349.81,200 g,N/A,180
ITM0034,MTR Baby Shampoo,Baby Care,MTR,402.47,250 g,N/A,90
ITM0035,Nestle Batteries,Stationery & Electronics,Nestle,103.47,1 pc,N/A,30
ITM0036,Amul Pet Treats,Pet Care,Amul,336.88,200 g,N/A,7
ITM0037,Cadbury Spinach,Fruits & Vegetables,Cadbury,76.7,100 g,N/A,7
ITM0038,Himalaya Butter,Dairy & Breakfast,Himalaya,213.84,1 kg,Low Fat,90
ITM0039,Amul Popcorn,Snacks & Munchies,Amul,144.2,500 g,N/A,180
ITM0040,Nestle Instant Coffee,Beverages,Nestle,107.6,100 g,N/A,90
ITM0041,Himalaya Cooking Oil,Staples,Himalaya,360.17,1 kg,N/A,30
ITM0042,Pedigree Razor,Personal Care,Pedigree,258.27,250 g,N/A,30
ITM0043,Amul Detergent Powder,Home Care,Amul,296.15,100 g,N/A,7
ITM0044,HUL Bread Sticks,Bakery,HUL,44.97,1 kg,N/A,180
ITM0045,Patanjali Frozen Peas,Frozen & Instant Food,Patanjali,280.8,6 pcs,N/A,180
ITM0046,HUL Baby Lotion,Baby Care,HUL,741.21,100 g,N/A,7
ITM0047,Amul Pen Set,Stationery & Electronics,Amul,512.72,1 kg,N/A,365
ITM0048,Parle Cat Food,Pet Care,Parle,244.91,12 pcs,N/A,365
ITM0049,Patanjali Lemon,Fruits & Vegetables,Patanjali,69.08,2 L,N/A,365
ITM0050,Britannia Butter,Dairy & Breakfast,Britannia,39.6,200 g,Low Fat,365
ITM0051,Britannia Chocolate Bar,Snacks & Munchies,Britannia,114.81,2 L,N/A,365
ITM0052,Surf Excel Mineral Water,Beverages,Surf Excel,113.39,1 kg,N/A,180
ITM0053,HUL Sugar,Staples,HUL,249.25,1 pc,N/A,2
ITM0054,MTR Hair Oil,Personal Care,MTR,154.98,100 g,N/A,7
ITM0055,Amul Scrub Pad,Home Care,Amul,297.64,200 g,N/A,7
ITM0056,Britannia Muffin,Bakery,Britannia,157.86,6 pcs,N/A,7
ITM0057,Patanjali Frozen Nuggets,Frozen & Instant Food,Patanjali,322.09,250 g,N/A,365
ITM0058,Fortune Baby Shampoo,Baby Care,Fortune,200.73,2 L,N/A,7
ITM0059,Patanjali Notebook,Stationery & Electronics,Patanjali,619.56,200 g,N/A,7
ITM0060,Fortune Cat Food,Pet Care,Fortune,441.02,6 pcs,N/A,7
ITM0061,Surf Excel Capsicum,Fruits & Vegetables,Surf Excel,90.12,12 pcs,N/A,180
ITM0062,ITC Yogurt,Dairy & Breakfast,ITC,65.22,1 pc,Regular,30
ITM0063,HUL Chikki,Snacks & Munchies,HUL,78.4,1 kg,N/A,365
ITM0064,Fortune Soda,Beverages,Fortune,186.47,250 g,N/A,2
ITM0065,Mother Dairy Moong Dal,Staples,Mother Dairy,395.03,12 pcs,N/A,7
ITM0066,MTR Toothpaste,Personal Care,MTR,436.49,500 g,N/A,90
ITM0067,Himalaya Floor Cleaner,Home Care,Himalaya,289.35,500 g,N/A,180
ITM0068,Colgate Bun,Bakery,Colgate,45.1,100 g,N/A,365
ITM0069,Everest Frozen Paratha,Frozen & Instant Food,Everest,131.42,500 g,N/A,90
ITM0070,Himalaya Baby Shampoo,Baby Care,Himalaya,522.18,12 pcs,N/A,30
ITM0071,Dabur Notebook,Stationery & Electronics,Dabur,400.52,200 g,N/A,365
ITM0072,Patanjali Pet Shampoo,Pet Care,Patanjali,208.88,1 kg,N/A,7
ITM0073,MTR Beans,Fruits & Vegetables,MTR,100.74,2 L,N/A,2
ITM0074,Parle Curd,Dairy & Breakfast,Parle,72.51,1 pc,Low Fat,30
ITM0075,Himalaya Rusk,Snacks & Munchies,Himalaya,138.94,200 g,N/A,7
ITM0076,Patanjali Packaged Juice,Beverages,Patanjali,47.65,1 kg,N/A,2
ITM0077,MTR Wheat Atta,Staples,MTR,137.8,100 g,N/A,2
ITM0078,Mother Dairy Hand Sanitizer,Personal Care,Mother Dairy,322.29,12 pcs,N/A,30
ITM0079,Pedigree Toilet Cleaner,Home Care,Pedigree,311.25,1 kg,N/A,365
ITM0080,Amul Croissant,Bakery,Amul,61.74,2 L,N/A,7
ITM0081,Local Brand Instant Noodles,Frozen & Instant Food,Local Brand,195.69,1 pc,N/A,2
ITM0082,Dabur Diapers,Baby Care,Dabur,466.63,2 L,N/A,365
ITM0083,ITC Notebook,Stationery & Electronics,ITC,834.61,100 g,N/A,2
ITM0084,Colgate Pet Treats,Pet Care,Colgate,549.38,250 g,N/A,365
ITM0085,Mother Dairy Beans,Fruits & Vegetables,Mother Dairy,82.46,12 pcs,N/A,180
ITM0086,ITC Ghee,Dairy & Breakfast,ITC,199.22,250 g,Regular,365
ITM0087,Parle Rusk,Snacks & Munchies,Parle,63.91,6 pcs,N/A,30
ITM0088,Nestle Soda,Beverages,Nestle,106.02,200 g,N/A,30
ITM0089,Tata Moong Dal,Staples,Tata,245.81,1 kg,N/A,30
ITM0090,Haldiram's Hand Sanitizer,Personal Care,Haldiram's,324.3,500 g,N/A,30
ITM0091,Himalaya Glass Cleaner,Home Care,Himalaya,324.07,12 pcs,N/A,30
ITM0092,Parle Bun,Bakery,Parle,215.17,1 kg,N/A,180
ITM0093,Colgate Instant Noodles,Frozen & Instant Food,Colgate,236.45,6 pcs,N/A,30
ITM0094,Britannia Baby Powder,Baby Care,Britannia,241.68,6 pcs,N/A,180
ITM0095,Surf Excel Earphones,Stationery & Electronics,Surf Excel,144.93,2 L,N/A,2
ITM0096,Local Brand Pet Shampoo,Pet Care,Local Brand,123.94,6 pcs,N/A,365
ITM0097,ITC Cabbage,Fruits & Vegetables,ITC,115.68,200 g,N/A,90
ITM0098,Haldiram's Yogurt,Dairy & Breakfast,Haldiram's,283.41,12 pcs,Regular,30
ITM0099,MTR Chikki,Snacks & Munchies,MTR,23.31,1 pc,N/A,90
ITM0100,Britannia Packaged Juice,Beverages,Britannia,121.69,100 g,N/A,90
ITM0101,Cadbury Besan,Staples,Cadbury,467.8,1 kg,N/A,180
ITM0102,Parle Razor,Personal Care,Parle,289.84,200 g,N/A,7
ITM0103,Everest Scrub Pad,Home Care,Everest,67.19,200 g,N/A,180
ITM0104,Haldiram's Muffin,Bakery,Haldiram's,198.09,200 g,N/A,30
ITM0105,MTR Frozen Fries,Frozen & Instant Food,MTR,316.89,2 L,N/A,30
ITM0106,Dabur Baby Lotion,Baby Care,Dabur,320.11,250 g,N/A,7
ITM0107,Nestle Pen Set,Stationery & Electronics,Nestle,410.98,2 L,N/A,30
ITM0108,MTR Dog Food,Pet Care,MTR,367.56,2 L,N/A,180
ITM0109,Local Brand Grapes,Fruits & Vegetables,Local Brand,54.52,1 kg,N/A,365
ITM0110,MTR Toned Milk,Dairy & Breakfast,MTR,334.14,500 g,Low Fat,365
ITM0111,Local Brand Rusk,Snacks & Munchies,Local Brand,27.07,1 kg,N/A,180
ITM0112,Fortune Tea Bags,Beverages,Fortune,101.78,100 g,N/A,365
ITM0113,Patanjali Cooking Oil,Staples,Patanjali,296.79,250 g,N/A,30
ITM0114,Fortune Hand Sanitizer,Personal Care,Fortune,362.52,2 L,N/A,7
ITM0115,Pedigree Toilet Cleaner,Home Care,Pedigree,312.55,6 pcs,N/A,365
ITM0116,Amul Rusk,Bakery,Amul,249.79,100 g,N/A,180
ITM0117,Cadbury Instant Noodles,Frozen & Instant Food,Cadbury,81.65,6 pcs,N/A,2
ITM0118,Tata Feeding Bottle,Baby Care,Tata,200.12,250 g,N/A,180
ITM0119,Britannia LED Bulb,Stationery & Electronics,Britannia,822.26,250 g,N/A,2
ITM0120,Amul Pet Shampoo,Pet Care,Amul,106.86,100 g,N/A,90
ITM0121,Colgate Beans,Fruits & Vegetables,Colgate,40.05,250 g,N/A,2
ITM0122,Cadbury Oats,Dairy & Breakfast,Cadbury,326.53,12 pcs,Low Fat,180
ITM0123,Colgate Trail Mix,Snacks & Munchies,Colgate,15.62,12 pcs,N/A,7
ITM0124,ITC Packaged Juice,Beverages,ITC,110.82,1 kg,N/A,90
ITM0125,Nestle Sooji,Staples,Nestle,126.92,12 pcs,N/A,180
ITM0126,Britannia Shampoo,Personal Care,Britannia,158.3,100 g,N/A,365
ITM0127,MTR Glass Cleaner,Home Care,MTR,56.9,1 pc,N/A,90
ITM0128,Amul Cake,Bakery,Amul,223.35,1 kg,N/A,7
ITM0129,Dabur Frozen Fries,Frozen & Instant Food,Dabur,114.24,100 g,N/A,365
ITM0130,Parle Baby Powder,Baby Care,Parle,648.86,250 g,N/A,90
ITM0131,Haldiram's Batteries,Stationery & Electronics,Haldiram's,853.04,200 g,N/A,30
ITM0132,Mother Dairy Cat Food,Pet Care,Mother Dairy,443.88,250 g,N/A,365
ITM0133,Britannia Lemon,Fruits & Vegetables,Britannia,68.38,200 g,N/A,30
ITM0134,Parle Oats,Dairy & Breakfast,Parle,63.75,2 L,Low Fat,30
ITM0135,HUL Namkeen Mix,Snacks & Munchies,HUL,69.91,12 pcs,N/A,90
ITM0136,Pedigree Soda,Beverages,Pedigree,93.58,500 g,N/A,7
ITM0137,Mother Dairy Chana,Staples,Mother Dairy,217.54,2 L,N/A,30
ITM0138,Parle Shampoo,Personal Care,Parle,140.24,1 kg,N/A,90
ITM0139,Mother Dairy Toilet Cleaner,Home Care,Mother Dairy,257.62,1 kg,N/A,180
ITM0140,Local Brand Muffin,Bakery,Local Brand,201.11,250 g,N/A,90
ITM0141,Haldiram's Instant Noodles,Frozen & Instant Food,Haldiram's,269.1,1 kg,N/A,90
ITM0142,Colgate Baby Food,Baby Care,Colgate,720.48,6 pcs,N/A,365
ITM0143,Fortune LED Bulb,Stationery & Electronics,Fortune,482.64,250 g,N/A,30
ITM0144,Fortune Pet Treats,Pet Care,Fortune,336.95,12 pcs,N/A,7
ITM0145,Nestle Onion,Fruits & Vegetables,Nestle,103.41,12 pcs,N/A,30
ITM0146,Mother Dairy Toned Milk,Dairy & Breakfast,Mother Dairy,81.22,500 g,Regular,180
ITM0147,Himalaya Popcorn,Snacks & Munchies,Himalaya,125.8,100 g,N/A,365
ITM0148,Dabur Instant Coffee,Beverages,Dabur,47.65,250 g,N/A,7
ITM0149,Fortune Moong Dal,Staples,Fortune,576.72,500 g,N/A,365
ITM0150,Everest Hand Sanitizer,Personal Care,Everest,174.38,6 pcs,N/A,180
ITM0151,Everest Mop,Home Care,Everest,238.68,500 g,N/A,2
ITM0152,Tata Muffin,Bakery,Tata,140.77,1 kg,N/A,7
ITM0153,Haldiram's Instant Noodles,Frozen & Instant Food,Haldiram's,396.2,12 pcs,N/A,90
ITM0154,Colgate Baby Wipes,Baby Care,Colgate,793.23,1 pc,N/A,30
ITM0155,Colgate Notebook,Stationery & Electronics,Colgate,99.64,500 g,N/A,180
ITM0156,Haldiram's Dog Food,Pet Care,Haldiram's,324.05,2 L,N/A,7
ITM0157,Tata Potato,Fruits & Vegetables,Tata,19.69,2 L,N/A,7
ITM0158,Patanjali Paneer,Dairy & Breakfast,Patanjali,184.31,2 L,Regular,90
ITM0159,Nestle Potato Chips,Snacks & Munchies,Nestle,44.11,12 pcs,N/A,90
ITM0160,Mother Dairy Buttermilk,Beverages,Mother Dairy,140.64,1 pc,N/A,180
ITM0161,Nestle Moong Dal,Staples,Nestle,245.3,6 pcs,N/A,30
ITM0162,Himalaya Razor,Personal Care,Himalaya,243.03,12 pcs,N/A,180
ITM0163,Surf Excel Mop,Home Care,Surf Excel,196.49,500 g,N/A,90
ITM0164,ITC Bread Sticks,Bakery,ITC,98.34,12 pcs,N/A,90
ITM0165,Fortune Frozen Nuggets,Frozen & Instant Food,Fortune,86.74,100 g,N/A,365
ITM0166,Local Brand Baby Food,Baby Care,Local Brand,224.25,1 pc,N/A,30
ITM0167,Britannia USB Cable,Stationery & Electronics,Britannia,51.6,1 pc,N/A,30
ITM0168,Haldiram's Pet Treats,Pet Care,Haldiram's,391.21,250 g,N/A,2
ITM0169,Patanjali Carrot,Fruits & Vegetables,Patanjali,88.82,1 kg,N/A,365
ITM0170,Colgate Cheese Slices,Dairy & Breakfast,Colgate,180.19,1 pc,Regular,365
ITM0171,Fortune Trail Mix,Snacks & Munchies,Fortune,144.85,6 pcs,N/A,180
ITM0172,Surf Excel Instant Coffee,Beverages,Surf Excel,40.54,1 kg,N/A,30
ITM0173,Local Brand Sooji,Staples,Local Brand,406.3,1 kg,N/A,365
ITM0174,Pedigree Toothpaste,Personal Care,Pedigree,165.29,12 pcs,N/A,180
ITM0175,Local Brand Glass Cleaner,Home Care,Local Brand,78.4,500 g,N/A,2
ITM0176,Everest Croissant,Bakery,Everest,132.63,12 pcs,N/A,90
ITM0177,HUL Momos,Frozen & Instant Food,HUL,194.05,2 L,N/A,180
ITM0178,Nestle Baby Powder,Baby Care,Nestle,488.82,1 kg,N/A,365
ITM0179,Haldiram's LED Bulb,Stationery & Electronics,Haldiram's,62.16,12 pcs,N/A,30
ITM0180,Amul Pet Treats,Pet Care,Amul,136.83,2 L,N/A,180
ITM0181,Cadbury Cauliflower,Fruits & Vegetables,Cadbury,105.87,6 pcs,N/A,180
ITM0182,Colgate Bread,Dairy & Breakfast,Colgate,40.91,2 L,Low Fat,90
ITM0183,Surf Excel Biscuits,Snacks & Munchies,Surf Excel,10.63,2 L,N/A,180
ITM0184,Fortune Tea Bags,Beverages,Fortune,92.24,100 g,N/A,365
ITM0185,Cadbury Moong Dal,Staples,Cadbury,173.09,500 g,N/A,30
ITM0186,Everest Sunscreen,Personal Care,Everest,169.58,12 pcs,N/A,90
ITM0187,Dabur Air Freshener,Home Care,Dabur,125.2,1 kg,N/A,7
ITM0188,Cadbury Bread Sticks,Bakery,Cadbury,98.64,100 g,N/A,180
ITM0189,Colgate Ready-to-eat Meal,Frozen & Instant Food,Colgate,399.56,1 pc,N/A,30
ITM0190,Fortune Baby Food,Baby Care,Fortune,502.41,200 g,N/A,365
ITM0191,MTR LED Bulb,Stationery & Electronics,MTR,547.84,100 g,N/A,365
ITM0192,Tata Cat Food,Pet Care,Tata,149.87,1 kg,N/A,30
ITM0193,Nestle Onion,Fruits & Vegetables,Nestle,36.21,1 kg,N/A,90
ITM0194,Pedigree Toned Milk,Dairy & Breakfast,Pedigree,136.57,1 pc,Low Fat,365
ITM0195,Pedigree Chocolate Bar,Snacks & Munchies,Pedigree,85.72,6 pcs,N/A,30
ITM0196,Surf Excel Energy Drink,Beverages,Surf Excel,62.32,1 pc,N/A,365
ITM0197,HUL Sugar,Staples,HUL,455.7,1 kg,N/A,90
ITM0198,Cadbury Body Lotion,Personal Care,Cadbury,169.75,12 pcs,N/A,30
ITM0199,Britannia Detergent Powder,Home Care,Britannia,311.04,200 g,N/A,30
ITM0200,Mother Dairy Cake,Bakery,Mother Dairy,202.15,1 pc,N/A,30
ITM0201,Surf Excel Frozen Nuggets,Frozen & Instant Food,Surf Excel,398.15,1 kg,N/A,180
ITM0202,Colgate Baby Wipes,Baby Care,Colgate,731.79,250 g,N/A,7
ITM0203,Britannia LED Bulb,Stationery & Electronics,Britannia,118.65,1 pc,N/A,180
ITM0204,Pedigree Cat Food,Pet Care,Pedigree,346.62,2 L,N/A,2
ITM0205,Himalaya Carrot,Fruits & Vegetables,Himalaya,25.82,2 L,N/A,2
ITM0206,Tata Toned Milk,Dairy & Breakfast,Tata,46.3,2 L,Low Fat,90
ITM0207,HUL Trail Mix,Snacks & Munchies,HUL,17.13,12 pcs,N/A,30
ITM0208,Everest Packaged Juice,Beverages,Everest,145.67,100 g,N/A,7
ITM0209,HUL Chana,Staples,HUL,260.71,250 g,N/A,2
ITM0210,Patanjali Hand Sanitizer,Personal Care,Patanjali,395.11,200 g,N/A,2
ITM0211,Fortune Floor Cleaner,Home Care,Fortune,191.75,100 g,N/A,30
ITM0212,Mother Dairy Rusk,Bakery,Mother Dairy,213.48,12 pcs,N/A,30
ITM0213,HUL Instant Noodles,Frozen & Instant Food,HUL,134.87,2 L,N/A,180
ITM0214,HUL Baby Shampoo,Baby Care,HUL,331.52,250 g,N/A,365
ITM0215,Amul Earphones,Stationery & Electronics,Amul,430.87,12 pcs,N/A,7
ITM0216,Local Brand Pet Shampoo,Pet Care,Local Brand,151.87,100 g,N/A,365
ITM0217,Amul Onion,Fruits & Vegetables,Amul,34.77,12 pcs,N/A,7
ITM0218,MTR Toned Milk,Dairy & Breakfast,MTR,103.53,1 pc,Low Fat,90
ITM0219,Cadbury Peanuts,Snacks & Munchies,Cadbury,10.66,12 pcs,N/A,365
ITM0220,Local Brand Tea Bags,Beverages,Local Brand,49.29,2 L,N/A,365
ITM0221,Patanjali Poha,Staples,Patanjali,554.52,250 g,N/A,90
ITM0222,Local Brand Lip Balm,Personal Care,Local Brand,443.86,100 g,N/A,365
ITM0223,ITC Toilet Cleaner,Home Care,ITC,287.76,250 g,N/A,90
ITM0224,Tata Rusk,Bakery,Tata,115.23,1 pc,N/A,2
ITM0225,Surf Excel Frozen Paratha,Frozen & Instant Food,Surf Excel,171.27,100 g,N/A,2
ITM0226,Britannia Baby Powder,Baby Care,Britannia,607.63,12 pcs,N/A,180
ITM0227,Colgate Batteries,Stationery & Electronics,Colgate,804.32,250 g,N/A,90
ITM0228,ITC Dog Food,Pet Care,ITC,154.73,6 pcs,N/A,7
ITM0229,Everest Cauliflower,Fruits & Vegetables,Everest,119.14,1 kg,N/A,2
ITM0230,Amul Muesli,Dairy & Breakfast,Amul,347.75,1 pc,Regular,7
ITM0231,Surf Excel Peanuts,Snacks & Munchies,Surf Excel,133.25,500 g,N/A,90
ITM0232,Britannia Tea Bags,Beverages,Britannia,29.09,250 g,N/A,90
ITM0233,Patanjali Wheat Atta,Staples,Patanjali,411.63,2 L,N/A,2
ITM0234,Nestle Sunscreen,Personal Care,Nestle,142.51,1 pc,N/A,365
ITM0235,Patanjali Phenyl,Home Care,Patanjali,229.34,200 g,N/A,30
ITM0236,Everest Croissant,Bakery,Everest,186.93,6 pcs,N/A,90
ITM0237,Everest Frozen Paratha,Frozen & Instant Food,Everest,394.2,200 g,N/A,90
ITM0238,Himalaya Baby Food,Baby Care,Himalaya,657.22,100 g,N/A,90
ITM0239,Haldiram's USB Cable,Stationery & Electronics,Haldiram's,111.84,6 pcs,N/A,30
ITM0240,Britannia Pet Treats,Pet Care,Britannia,157.67,6 pcs,N/A,365
ITM0241,Britannia Apple,Fruits & Vegetables,Britannia,35.95,2 L,N/A,365
ITM0242,Tata Oats,Dairy & Breakfast,Tata,177.69,200 g,Regular,365
ITM0243,Local Brand Trail Mix,Snacks & Munchies,Local Brand,82.38,500 g,N/A,180
ITM0244,MTR Soda,Beverages,MTR,160.93,2 L,N/A,7
ITM0245,Everest Besan,Staples,Everest,524.72,2 L,N/A,180
ITM0246,Nestle Razor,Personal Care,Nestle,131.76,500 g,N/A,2
ITM0247,Tata Glass Cleaner,Home Care,Tata,156.91,2 L,N/A,180
ITM0248,Surf Excel Bread Sticks,Bakery,Surf Excel,110.76,1 pc,N/A,90
ITM0249,Mother Dairy Frozen Paratha,Frozen & Instant Food,Mother Dairy,193.2,1 pc,N/A,90
ITM0250,Himalaya Baby Powder,Baby Care,Himalaya,427.35,100 g,N/A,30
ITM0251,Dabur Pen Set,Stationery & Electronics,Dabur,144.06,500 g,N/A,7
ITM0252,Cadbury Cat Food,Pet Care,Cadbury,256.53,100 g,N/A,7
ITM0253,Britannia Beans,Fruits & Vegetables,Britannia,94.12,100 g,N/A,365
ITM0254,Patanjali Bread,Dairy & Breakfast,Patanjali,90.68,2 L,Low Fat,90
ITM0255,Parle Potato Chips,Snacks & Munchies,Parle,46.32,200 g,N/A,90
ITM0256,Nestle Cola,Beverages,Nestle,137.45,2 L,N/A,90
ITM0257,ITC Rajma,Staples,ITC,181.36,200 g,N/A,180
ITM0258,HUL Face Wash,Personal Care,HUL,410.66,12 pcs,N/A,365
ITM0259,Pedigree Mop,Home Care,Pedigree,335.43,1 pc,N/A,7
ITM0260,Himalaya Cake,Bakery,Himalaya,147.17,250 g,N/A,2
ITM0261,Colgate Frozen Nuggets,Frozen & Instant Food,Colgate,265.86,500 g,N/A,7
ITM0262,Nestle Baby Shampoo,Baby Care,Nestle,212.22,250 g,N/A,365
ITM0263,Mother Dairy USB Cable,Stationery & Electronics,Mother Dairy,669.56,6 pcs,N/A,30
ITM0264,Colgate Cat Food,Pet Care,Colgate,475.21,500 g,N/A,180
ITM0265,Tata Tomato,Fruits & Vegetables,Tata,113.86,500 g,N/A,365
ITM0266,MTR Curd,Dairy & Breakfast,MTR,110.98,100 g,Low Fat,7
ITM0267,Cadbury Rusk,Snacks & Munchies,Cadbury,72.98,500 g,N/A,7
ITM0268,MTR Buttermilk,Beverages,MTR,173.24,1 pc,N/A,30
ITM0269,Fortune Rajma,Staples,Fortune,179.11,1 kg,N/A,7
ITM0270,Britannia Face Wash,Personal Care,Britannia,426.01,100 g,N/A,180
ITM0271,HUL Phenyl,Home Care,HUL,192.09,1 kg,N/A,90
ITM0272,Fortune Bun,Bakery,Fortune,119.95,500 g,N/A,7
ITM0273,Britannia Instant Noodles,Frozen & Instant Food,Britannia,218.71,2 L,N/A,365
ITM0274,Britannia Baby Wipes,Baby Care,Britannia,488.09,2 L,N/A,30
ITM0275,Surf Excel Pen Set,Stationery & Electronics,Surf Excel,133.49,100 g,N/A,365
ITM0276,HUL Dog Food,Pet Care,HUL,396.23,100 g,N/A,30
ITM0277,Fortune Mango,Fruits & Vegetables,Fortune,34.66,1 kg,N/A,365
ITM0278,Colgate Curd,Dairy & Breakfast,Colgate,266.02,500 g,Low Fat,7
ITM0279,Himalaya Rusk,Snacks & Munchies,Himalaya,57.79,1 pc,N/A,30
ITM0280,Nestle Cola,Beverages,Nestle,132.09,12 pcs,N/A,180
ITM0281,Everest Moong Dal,Staples,Everest,158.69,200 g,N/A,30
ITM0282,Patanjali Lip Balm,Personal Care,Patanjali,50.92,1 pc,N/A,365
ITM0283,Patanjali Detergent Powder,Home Care,Patanjali,59.24,500 g,N/A,7
ITM0284,Haldiram's Bun,Bakery,Haldiram's,165.43,200 g,N/A,30
ITM0285,Himalaya Instant Noodles,Frozen & Instant Food,Himalaya,161.7,500 g,N/A,90
ITM0286,HUL Baby Lotion,Baby Care,HUL,519.79,1 pc,N/A,90
ITM0287,Pedigree Batteries,Stationery & Electronics,Pedigree,328.16,1 pc,N/A,180
ITM0288,Pedigree Dog Food,Pet Care,Pedigree,100.93,12 pcs,N/A,30
ITM0289,Surf Excel Spinach,Fruits & Vegetables,Surf Excel,93.71,250 g,N/A,90
ITM0290,Everest Muesli,Dairy & Breakfast,Everest,123.31,1 pc,Low Fat,30
ITM0291,MTR Chikki,Snacks & Munchies,MTR,66.44,6 pcs,N/A,90
ITM0292,MTR Packaged Juice,Beverages,MTR,111.61,6 pcs,N/A,30
ITM0293,Britannia Rajma,Staples,Britannia,231.72,1 pc,N/A,30
ITM0294,Haldiram's Razor,Personal Care,Haldiram's,100.32,12 pcs,N/A,180
ITM0295,ITC Dishwash Liquid,Home Care,ITC,245.5,1 pc,N/A,2
ITM0296,HUL Bread Sticks,Bakery,HUL,65.5,200 g,N/A,365
ITM0297,Everest Frozen Nuggets,Frozen & Instant Food,Everest,283.75,250 g,N/A,7
ITM0298,Patanjali Feeding Bottle,Baby Care,Patanjali,197.06,250 g,N/A,180
ITM0299,Himalaya Pen Set,Stationery & Electronics,Himalaya,206.19,2 L,N/A,90
ITM0300,MTR Pet Shampoo,Pet Care,MTR,575.52,1 pc,N/A,30
ITM0301,HUL Capsicum,Fruits & Vegetables,HUL,48.65,1 pc,N/A,365
ITM0302,Dabur Cornflakes,Dairy & Breakfast,Dabur,247.76,1 kg,Low Fat,30
ITM0303,Surf Excel Banana Chips,Snacks & Munchies,Surf Excel,95.43,500 g,N/A,365
ITM0304,Colgate Instant Coffee,Beverages,Colgate,78,12 pcs,N/A,90
ITM0305,Parle Sooji,Staples,Parle,394.03,12 pcs,N/A,7
ITM0306,Haldiram's Face Wash,Personal Care,Haldiram's,419.55,2 L,N/A,365
ITM0307,Pedigree Scrub Pad,Home Care,Pedigree,270.95,2 L,N/A,180
ITM0308,ITC Pastry,Bakery,ITC,124.98,1 kg,N/A,7
ITM0309,Local Brand Ice Cream,Frozen & Instant Food,Local Brand,151.26,250 g,N/A,90
ITM0310,Dabur Baby Wipes,Baby Care,Dabur,253.2,500 g,N/A,365
ITM0311,Surf Excel USB Cable,Stationery & Electronics,Surf Excel,175.9,500 g,N/A,30
ITM0312,Parle Dog Food,Pet Care,Parle,516.37,12 pcs,N/A,7
ITM0313,Everest Cauliflower,Fruits & Vegetables,Everest,27.15,200 g,N/A,365
ITM0314,Patanjali Bread,Dairy & Breakfast,Patanjali,75.04,200 g,Low Fat,90
